#front|back
把|[bǎ] grasp, hold, handle, {classifier for things with handles, handfuls, chairs, etc.}><br /><br />[bà] 把子 bàzi, 把儿 bàr handle
法|[fǎ] (=法律 fǎlǜ) law, (=办法 bànfǎ) method; 法国 Fǎguó France
此|[cǐ] this; 如此 rúcǐ (=这样 zhèyàng) like this; 此地 cǐdì (=这里 zhèlǐ) here, at this place
實|[shí] solid, true, real; 事实 shìshí fact; 实际上 shíjìshang actually; 实在 shízài really
回|[huí] circle, return, reply, turns, times, chapter, Muslim, Hui (ethnic minority), {classifier for chapters, times, etc.}>; 回来 huílái come back; 回去 huíqù go back; 回答 huídá answer
二(A贰)|[èr] two; 二月 èryuè February
理|[lǐ] principle; 理论 lǐlùn theory; 管理 guǎnlǐ manage; 心理 xīnlǐ psychology, mentality
美|[měi] (=美丽 meilì) beautiful, (=好 hǎo) good, (=美德 měidé) virtue, {family name}>; 美国 Měiguó USA; 美元 měiyuán US$ 美家 měijiā artist
點|[diǎn] a drop (of liquid), dot, decimal point, a little, a bit, appoint time, select, choose, order food/drink, {classifier for small amounts}>, (=点火 diǎnhuǒ) light a fire; 一点儿 yìdiǎnr a little; 点头 diǎntóu nod one's head
月|[yuè] month, (=月亮 yuèliang, =月球 yuèqiú) moon
明|[míng] bright, clear, distinct, next (day or year), {family name}>; 明白 míngbai clear, understand; 明天 míngtiān tomorrow
其|[qí] its, that, such, they, them; 其他 qítā other; 尤其 yóuqí especially<br /><br />[jī] anniversary
種|[zhǒng] kind, sort, breed, race<br /><br />[zhòng] to plant, cultivate
聲|[shēng] voice, declaration, (=声音 shēngyīn) sound, {classifier for sounds}>; 声名 shēngmíng reputation, fame, statement, declaration
全|[quán] whole, entire, total, complete, {family name}>; 完全 wánquán completely; 安全 ānquán safety
工|[gōng] (=工作 gōngzuò) work, job; 工人 gōngrén worker
己|[jǐ] (=自己 zìjǐ) self<br /><br />{Compare with 已 yǐ already, which is "closed" on the left side}
話|[huà] speech, word, language, dialect, (=说话 shuōhuà) talk, speak<br /><br />[huo] 白话 báihuo = báihuà vernacular, empty talk
兒|[ér] child; 儿子 érzi son; 女儿 nǚ'ér daughter<br /><br />[r] (noun suffix); 这儿 zhèr here; 那儿 nàr there<br /><br />[rén] (when referring to the radical)<br /><br />{Compare with 兄 xiōng brother, 几 jǐ table, 臾 yú moment}
者|[zhě] one who...; 作者 zuòzhě author; 和平主义者 hépíngzhǔyìzhě pacifist
向|[xiàng] take somebody's part, to, towards, all along, allways, {family name}>, (F嚮) direction, towards, (F曏) formerly, previously; 向者 xiàngzhě formerly, once upon a time
情|[qíng] sensibility, (=感情 gǎnqíng) feeling, emotion; 爱情 àiqíng love
部|[bù] (=部分 bùfen) part, section, unit, {classifier for film, large books, machines, etc.}>, (=部队 bùduì) troops, army; 西部 xībù western part; 全部 quánbù entire
